D,D,D,D,D,D,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Geomean,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,NAS Metric v1,PGA RD4 SD,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,Saber Score,NAS $12K Engine Block [Single Entry] (Cup) ROI,NAS $12K Engine Block [Single Entry] (Cup) Sim Dupes,NAS $12K Engine Block [Single Entry] (Cup) Win Rate,NAS $12K Engine Block [Single Entry] (Cup) Cash Rate,NAS $12K Engine Block [Single Entry] (Cup) ROI StDev,NAS $3K Quarter Jukebox [Just $0.25!] (Cup) ROI,NAS $3K Quarter Jukebox [Just $0.25!] (Cup) Sim Dupes,NAS $3K Quarter Jukebox [Just $0.25!] (Cup) Win Rate,NAS $3K Quarter Jukebox [Just $0.25!] (Cup) Cash Rate,NAS $3K Quarter Jukebox [Just $0.25!] (Cup) ROI StDev
43463089,43463093,43463102,43463105,43463110,43463112,,281.2,162.2375,196.79999999999998,232.475,248.98749999999998,277.605,308.001,163.72999999999996,49700,1,0,20.03253407112499,89.82157123054063,83.85446906061729,86.49752172069795,80.07865543845956,71.75736023647305,290.0530906887626,173.578048930496,80.29604493508306,85.41766270517115,84.37098827958944,81.72793561950878,183.33536386489868,1.566666603088379,0,0.0074285714285714285,0.41714285714285715,9.113581135377636,2.737428665161133,0,0.0024285714285714284,0.43785714285714283,32.04367857227976
43463089,43463093,43463097,43463107,43463110,43463115,,277.4,163.8,199.525,234.05,250.37999999999997,281.25749999999994,310.30400000000003,137.23999999999998,50000,0,0,23.490816627480804,89.45563667162364,84.18646549754665,86.77083036388255,80.71735597304078,80.14354931335585,274.4624858123262,72.62969270378743,79.8117755059322,85.25706677587864,84.4094934417411,81.8251285754052,164.43688869476318,1.406904697418213,0,0.006285714285714286,0.38742857142857146,8.666578750862302,2.36471426486969,0,0.002285714285714286,0.40085714285714286,30.69514050819575
43463089,43463093,43463101,43463102,43463107,43463120,,274.75,161.3875,196.725,230.75,247.95,278.5625,311.9515,140.435,49900,0,0,24.396812082452787,88.50039355378544,83.09850467288658,85.75224490972921,79.56821559912834,79.71910333010044,256.98511415456363,71.7477342502411,79.25701485894011,84.82009564139375,84.11255523079649,81.45881499395384,150.0564694404602,1.3682142496109009,0,0.006,0.3688571428571429,8.817699754135521,2.24057137966156,0,0.002142857142857143,0.394,30.298450305211638
43463089,43463093,43463097,43463110,43463112,43463115,,269.6,152.9625,190.67499999999998,224.55,241.7575,271.1,303.15999999999997,128.04,49300,0,0,17.426342266589117,86.97973780207,82.33656048875952,84.53445770001065,79.20810786877149,77.13926855538202,272.7135432164048,71.21507323744517,78.33091444210054,84.0273641864508,83.24885843550477,81.05096122425363,149.0667462348938,1.2194048166275024,0,0.008,0.3274285714285714,9.05817761961802,2.216714322566986,0,0.002142857142857143,0.34414285714285714,30.751933449516024
43463089,43463093,43463102,43463104,43463110,43463112,,270.95,152.7375,188.45,222.7,240.215,270.78,297.308,131.78499999999997,49900,0,0,17.35106238402923,86.99695688189703,82.60968550405566,84.75952807815864,79.47190286148673,69.68529490516372,258.1541068276376,71.68979776152239,78.20874012762042,83.57108758548814,82.57783991961549,80.42799734551252,132.7242374420166,1.087142825126648,0,0.006857142857142857,0.34114285714285714,8.436150560603998,2.23199999332428,0,0.002,0.3628571428571429,30.720943334093597
43463089,43463093,43463102,43463107,43463110,43463112,,272.75,150.15,184.3,217.37499999999997,234.28749999999997,267.505,299.2195,123.80499999999999,49400,0,0,18.03996447788404,86.17686664764004,81.92117020077988,84.1787849560629,78.50957801435804,63.38183612247184,236.8706089946137,71.97907373220347,78.53586456381313,83.8367063313853,82.8350406401398,80.57742588485678,147.81030416488647,1.2507143020629883,0,0.006571428571428572,0.3485714285714286,8.900539459178814,2.0327142477035522,0,0.0014285714285714288,0.3678571428571429,26.19791598122748
43463089,43463093,43463102,43463107,43463109,43463112,,270.1,155.075,190.67499999999998,226.5125,243.5575,271.04999999999995,306.2575,137.46999999999997,49500,0,0,18.212641627192273,87.30047535929725,82.16016863488473,84.43709139450488,78.93359045875611,71.54447832573987,245.5149804639576,71.19725001099633,78.54387566441264,84.32099898749658,83.61357855820883,81.33665579858867,133.8128685951233,1.0407142639160156,0,0.006,0.3294285714285714,8.18964025011501,2.122142791748047,0,0.0024285714285714284,0.34571428571428575,31.778716159955692
43463089,43463093,43463098,43463102,43463110,43463120,,274.55,157.5125,192.45,224.85,243.2,270.71,305.517,128.85,50000,0,0,20.776153353654095,88.02321922871113,82.73421541099653,85.00642119330719,79.34566434338004,74.26461548535885,239.0102603048891,72.45471201118936,79.425777604368,85.00924569983523,84.124637415236,81.85243163292532,144.40243244171143,1.2126190662384033,0,0.006571428571428572,0.36542857142857144,8.460379853622038,1.8857142925262451,0,0.0014285714285714286,0.3851428571428571,25.75205690395592
43463089,43463093,43463094,43463107,43463115,43463120,,274.65,159.53750000000002,196.575,228.77499999999998,246.17999999999998,273.705,307.3,126.69999999999999,49700,0,0,23.54366513820526,88.24725052498748,82.3823529454047,84.96478905203806,78.77420014343286,84.72014268275409,240.20240611833657,71.86229693660184,78.97937623564364,84.35112504294936,83.51401942805212,80.93158332141877,132.91361331939697,1.0921428203582764,0,0.007142857142857143,0.36657142857142855,8.182275036519039,1.981142818927765,0,0.0015714285714285713,0.38657142857142857,27.10965995785654
43463089,43463093,43463101,43463107,43463110,43463112,,273.8,161.275,197.39999999999998,229.66250000000002,245.715,279.055,309.3595,147.36499999999998,49600,2,0,19.560407835095823,88.14563070507234,83.6560880632431,86.11052070022072,80.37389021979962,79.09528612026034,264.16725361667,271.87991649642163,79.23334821642621,84.88073596655072,84.13234729945323,81.6779146624756,133.2492232322693,1.1536904573440552,0,0.007714285714285714,0.356,8.72994642337447,1.894857108592987,0,0.0017142857142857142,0.3718571428571429,27.6812042285065
